infinitive,meaning,type,pronoun,conjugation,note
partager,to partage,present tense,nous,partageons,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,imparfait,je,partageais,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,tu,partageais ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,il,partageait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elle,partageait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,ils,partageaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elles,partageaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
plonger,to plonge,present tense,nous,plongeons,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,imparfait,je,plongeais,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,tu,plongeais ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,il,plongeait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elle,plongeait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,ils,plongeaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elles,plongeaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
voyager,to voyage,present tense,nous,voyageons,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,imparfait,je,voyageais,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,tu,voyageais ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,il,voyageait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elle,voyageait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,ils,voyageaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elles,voyageaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
employer,to use/to employ,present tense,je,emploie,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,emploies ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,emploie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,emploie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,emploient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,emploient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,simple future,je,emploierai,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,emploieras ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,emploiera ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,emploiera ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,emploieront,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,emploieront ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,nous,emploierons ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,vous,emploierez ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,present conditional,je,emploierais,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,emploierais,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,emploierait ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,emploierait ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,emploieraient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,emploieraient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,nous,emploierions,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,vous,emploieriez,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,present subjunctive,je,emploie,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,emploies,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,emploie,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,emploie,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,emploient,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,emploient,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
ennuyer,to annoy/to bore,present tense,je,ennuie,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,ennuies ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,ennuie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,ennuie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,ennuient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,ennuient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,simple future,je,ennuierai,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,ennuieras ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,ennuiera ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,ennuiera ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,ennuieront,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,ennuieront ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,nous,ennuierons ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,vous,ennuierez ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,present conditional,je,ennuierais,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,ennuierais,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,ennuierait ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,ennuierait ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,ennuieraient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,ennuieraient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,nous,ennuierions ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,vous,ennuieriez,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,present subjunctive,je,ennuie,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,ennuies ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,ennuie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,ennuie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,ennuient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,ennuient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
essayer,to try,present tense,je,essaie,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,essaies ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,essaie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,essaie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,essaient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,essaient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,simple future,je,essaierai,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,essaieras ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,essaiera ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,essaiera ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,essaieront,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,essaieront ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,nous,essaierons ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,vous,essaierez ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,present conditional,je,essaierais,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,essaierais,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,essaierait ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,essaierait ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,essaieraient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,essaieraient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,nous,essaierions ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,vous,essaieriez,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,present subjunctive,je,essaie,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,essaies ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,essaie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,essaie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,essaient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,essaient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
essuyer,to wipe,present tense,je,essuie,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,essuies ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,essuie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,essuie ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,essuient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,essuient ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,simple future,je,essuierai,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,tu,essuieras ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,il,essuiera ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elle,essuiera ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,ils,essuieront,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
,,,elles,essuieront ,In verbs ending in -yer.  the y may be changed to i before a silent e. (Note that usage has made this particular spelling rule optional in French.) The endings of these verbs are regular.
