infinitive,meaning,type,pronoun,conjugation,note
,,,nous,couvrons,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,,vous,couvrez,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,,ils,couvrent,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,,elles,couvrent,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,passe compose,,couvert,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
offrir,to offer,present tense,je,offre,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,,tu,offres,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,,il,offre,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,,elle,offre,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,,nous,offrons,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,,vous,offrez,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,,ils,offrent,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,,elles,offrent,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
,,passe compose,,offert,The ouvrir verbs are conjugated like regular -er verbs in the present indicative. The verbs couvrir (to cover) and découvrir (to discover) are conjugated like the verb ouvrir. Note also that they have similar but unique past participles.
