infinitive,meaning,type,pronoun,conjugation,note
,,,nous,tiendrions,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,vous,tiendriez,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,ils,tiendraient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elles,tiendraient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,passe compose,,tenu,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
retenir,to hold back,present tense,je,retiens,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,tu,retiens,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,il,retient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elle,retient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,nous,retenons,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,vous,retenez,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,ils,retiennent,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elles,retiennent,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,simple future,je,retiendrai,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,tu,retiendras,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,il,retiendra,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elle,retiendra,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,nous,retiendrons,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,vous,retiendrez,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,ils,retiendront,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elles,retiendront,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,conditional,je,retiendrais,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,tu,retiendrais,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,il,retiendrait,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elle,retiendrait,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,nous,retiendrions,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,vous,retiendriez,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,ils,retiendraient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elles,retiendraient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,passe compose,,retenu,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
venir,to come,present tense,je,viens,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,tu,viens,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,il,vient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elle,vient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,nous,venons,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,vous,venez,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,ils,viennent,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elles,viennent,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,simple future,je,viendrai,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,tu,viendras,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,il,viendra,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elle,viendra,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,nous,viendrons,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,vous,viendrez,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,ils,viendront,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elles,viendront,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,conditional,je,viendrais,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,tu,viendrais,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,il,viendrait,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elle,viendrait,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,nous,viendrions,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,vous,viendriez,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,ils,viendraient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elles,viendraient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,passe compose,,venu,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
revenir,to come back,present tense,je,reviens,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,tu,reviens,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,il,revient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elle,revient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,nous,revenons,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,vous,revenez,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,ils,reviennent,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
