"global_step","Rainbow DQN Sweep Config 4 - _step","Rainbow DQN Sweep Config 4 - _step__MIN","Rainbow DQN Sweep Config 4 - _step__MAX","Rainbow DQN Sweep Config 4 - charts/episodic_length","Rainbow DQN Sweep Config 4 - charts/episodic_length__MIN","Rainbow DQN Sweep Config 4 - charts/episodic_length__MAX","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_length","Rainbow DQN - charts/episodic_length__MIN","Rainbow DQN - charts/episodic_length__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_length","DQN - charts/episodic_length__MIN","DQN - charts/episodic_length__MAX"
"4655","","","","","","","","","","","","","77","77","77","183","183","183"
"4664","","","","","","","82","82","82","183","183","183","","","","","",""
"4665","24","24","24","190","190","190","","","","","","","","","","","",""
"4851","25","25","25","186","186","186","","","","","","","","","","","",""
"4854","","","","","","","84","84","84","190","190","190","","","","","",""
"4865","","","","","","","","","","","","","22","22","22","210","210","210"
"5054","","","","","","","","","","","","","52","23","81","189","189","189"
"5230","73","27","119","190","190","190","","","","","","","","","","","",""
"5271","","","","","","","","","","","","","83","83","83","217","217","217"
"5414","","","","","","","74.5","28","121","183","183","183","","","","","",""
"5420","121","121","121","190","190","190","","","","","","","","","","","",""
"5476","","","","","","","","","","","","","25","25","25","205","205","205"
"5597","","","","","","","76","29","123","183","183","183","","","","","",""
"5606","123","123","123","186","186","186","","","","","","","","","","","",""
"5702","","","","","","","","","","","","","26","26","26","226","226","226"
"5919","","","","","","","","","","","","","27","27","27","217","217","217"
"5969","","","","","","","31","31","31","188","188","188","","","","","",""
"6172","32","32","32","189","189","189","","","","","","","","","","","",""
"6300","","","","","","","","","","","","","79.5","29","130","198","198","198"
"6337","","","","","","","109.5","88","131","184","184","184","","","","","",""
"6355","109","87","131","183","183","183","","","","","","","","","","","",""
"6499","","","","","","","","","","","","","132","132","132","199","199","199"
"6524","","","","","","","133","133","133","187","187","187","","","","","",""
"6538","110.5","88","133","183","183","183","","","","","","","","","","","",""
"6694","","","","","","","","","","","","","82.5","31","134","195","195","195"
"6897","","","","","","","","","","","","","136","136","136","203","203","203"
"6898","","","","","","","91","91","91","185","185","185","","","","","",""
"6914","90","90","90","189","189","189","","","","","","","","","","","",""
"7083","","","","","","","115.5","92","139","185","185","185","","","","","",""
"7099","115","91","139","185","185","185","","","","","","","","","","","",""
"7112","","","","","","","","","","","","","85.5","33","138","215","215","215"
"7272","","","","","","","93","93","93","189","189","189","","","","","",""
"7282","116.5","92","141","183","183","183","","","","","","","","","","","",""
"7319","","","","","","","","","","","","","140","140","140","207","207","207"
"7470","93","93","93","188","188","188","","","","","","","","","","","",""
"7658","119.5","94","145","188","188","188","","","","","","","","","","","",""
"7750","","","","","","","","","","","","","93","93","93","219","219","219"
"7835","","","","","","","147","147","147","185","185","185","","","","","",""
"7845","95","95","95","187","187","187","","","","","","","","","","","",""
"7950","","","","","","","","","","","","","120","94","146","200","200","200"
"8018","","","","","","","149","149","149","183","183","183","","","","","",""
"8033","122.5","96","149","188","188","188","","","","","","","","","","","",""
"8217","97","97","97","184","184","184","","","","","","","","","","","",""
"8387","","","","","","","153","153","153","186","186","186","","","","","",""
"8401","98","98","98","184","184","184","","","","","","","","","","","",""
"8572","","","","","","","155","155","155","185","185","185","","","","","",""
"8584","","","","","","","","","","","","","97","97","97","222","222","222"
"8587","127","99","155","186","186","186","","","","","","","","","","","",""
"8757","","","","","","","101","101","101","185","185","185","","","","","",""
"8776","128.5","100","157","189","189","189","","","","","","","","","","","",""
"8849","","","","","","","","","","","","","126","98","154","265","265","265"
"8947","","","","","","","130.5","102","159","190","190","190","","","","","",""
"9083","","","","","","","","","","","","","156","156","156","234","234","234"
"9131","","","","","","","103","103","103","184","184","184","","","","","",""
"9152","131.5","102","161","188","188","188","","","","","","","","","","","",""
"9266","","","","","","","","","","","","","100","100","100","183","183","183"
"9342","103","103","103","190","190","190","","","","","","","","","","","",""
"9452","","","","","","","","","","","","","160","160","160","186","186","186"
"9505","","","","","","","105","105","105","184","184","184","","","","","",""
"9526","165","165","165","184","184","184","","","","","","","","","","","",""
"9637","","","","","","","","","","","","","102","102","102","185","185","185"
"9691","","","","","","","106","106","106","186","186","186","","","","","",""
"9709","167","167","167","183","183","183","","","","","","","","","","","",""
"9842","","","","","","","","","","","","","164","164","164","205","205","205"
"9879","","","","","","","107","107","107","188","188","188","","","","","",""
"9895","106","106","106","186","186","186","","","","","","","","","","","",""
"10032","","","","","","","","","","","","","166","166","166","190","190","190"
"10085","107","107","107","190","190","190","","","","","","","","","","","",""
"10256","","","","","","","109","109","109","190","190","190","","","","","",""
"10275","140.5","108","173","190","190","190","","","","","","","","","","","",""
"10441","","","","","","","","","","","","","170","170","170","225","225","225"
"10444","","","","","","","175","175","175","188","188","188","","","","","",""
"10463","109","109","109","188","188","188","","","","","","","","","","","",""
"10630","","","","","","","144","111","177","186","186","186","","","","","",""
"10647","","","","","","","","","","","","","172","172","172","206","206","206"
"10649","143.5","110","177","186","186","186","","","","","","","","","","","",""
"10836","179","179","179","187","187","187","","","","","","","","","","","",""
"10855","","","","","","","","","","","","","108","108","108","208","208","208"
"11000","","","","","","","181","181","181","183","183","183","","","","","",""
"11026","146.5","112","181","190","190","190","","","","","","","","","","","",""
"11063","","","","","","","","","","","","","109","109","109","208","208","208"
"11188","","","","","","","148.5","114","183","188","188","188","","","","","",""
"11209","148","113","183","183","183","183","","","","","","","","","","","",""
"11288","","","","","","","","","","","","","110","110","110","225","225","225"
"11375","","","","","","","185","185","185","187","187","187","","","","","",""
"11395","165.5","114","217","186","186","186","","","","","","","","","","","",""
"11516","","","","","","","","","","","","","145.5","111","180","228","228","228"
"11560","","","","","","","219","219","219","185","185","185","","","","","",""
"11582","167","115","219","187","187","187","","","","","","","","","","","",""
"11767","116","116","116","185","185","185","","","","","","","","","","","",""
"11924","","","","","","","","","","","","","113","113","113","205","205","205"
"11931","","","","","","","223","223","223","186","186","186","","","","","",""
"11956","117","117","117","189","189","189","","","","","","","","","","","",""
"12119","","","","","","","186","186","186","188","188","188","","","","","",""
"12145","185","185","185","189","189","189","","","","","","","","","","","",""
"12329","206.5","186","227","184","184","184","","","","","","","","","","","",""
"12366","","","","","","","","","","","","","115","115","115","203","203","203"
"12489","","","","","","","188","188","188","183","183","183","","","","","",""
"12517","187","187","187","188","188","188","","","","","","","","","","","",""
"12554","","","","","","","","","","","","","190","190","190","188","188","188"
"12679","","","","","","","210","189","231","190","190","190","","","","","",""
"12701","188","188","188","184","184","184","","","","","","","","","","","",""
"12787","","","","","","","","","","","","","117","117","117","233","233","233"
"12866","","","","","","","190","190","190","187","187","187","","","","","",""
"12886","189","189","189","185","185","185","","","","","","","","","","","",""
"13002","","","","","","","","","","","","","118","118","118","215","215","215"
"13049","","","","","","","235","235","235","183","183","183","","","","","",""
"13073","190","190","190","187","187","187","","","","","","","","","","","",""
"13235","","","","","","","214.5","192","237","186","186","186","","","","","",""
"13256","191","191","191","183","183","183","","","","","","","","","","","",""
"13271","","","","","","","","","","","","","119","119","119","269","269","269"
"13440","215.5","192","239","184","184","184","","","","","","","","","","","",""
"13602","","","","","","","241","241","241","183","183","183","","","","","",""
"13685","","","","","","","","","","","","","121","121","121","208","208","208"
"13786","","","","","","","195","195","195","184","184","184","","","","","",""
"13976","","","","","","","245","245","245","190","190","190","","","","","",""
"13994","195","195","195","184","184","184","","","","","","","","","","","",""
"14116","","","","","","","","","","","","","123","123","123","244","244","244"
"14161","","","","","","","247","247","247","185","185","185","","","","","",""
"14180","247","247","247","186","186","186","","","","","","","","","","","",""
"14306","","","","","","","","","","","","","124","124","124","190","190","190"
"14347","","","","","","","223.5","198","249","186","186","186","","","","","",""
"14368","197","197","197","188","188","188","","","","","","","","","","","",""
"14535","","","","","","","","","","","","","125","125","125","229","229","229"
"14536","","","","","","","251","251","251","189","189","189","","","","","",""
"14554","251","251","251","186","186","186","","","","","","","","","","","",""
"14719","","","","","","","200","200","200","183","183","183","","","","","",""
"14728","","","","","","","","","","","","","236","236","236","193","193","193"
"14903","","","","","","","201","201","201","184","184","184","","","","","",""
"14930","227.5","200","255","188","188","188","","","","","","","","","","","",""
"15087","","","","","","","202","202","202","184","184","184","","","","","",""
"15115","257","257","257","185","185","185","","","","","","","","","","","",""
"15272","","","","","","","259","259","259","185","185","185","","","","","",""
"15298","230.5","202","259","183","183","183","","","","","","","","","","","",""
"15377","","","","","","","","","","","","","219","196","242","227","227","227"
"15461","","","","","","","204","204","204","189","189","189","","","","","",""
"15482","203","203","203","184","184","184","","","","","","","","","","","",""
"15649","","","","","","","263","263","263","188","188","188","","","","","",""
"15669","233.5","204","263","187","187","187","","","","","","","","","","","",""
"15858","265","265","265","189","189","189","","","","","","","","","","","",""
"16025","","","","","","","267","267","267","190","190","190","","","","","",""
"16047","236.5","206","267","189","189","189","","","","","","","","","","","",""
"16185","","","","","","","","","","","","","200","200","200","186","186","186"
"16209","","","","","","","269","269","269","184","184","184","","","","","",""
"16231","238","207","269","184","184","184","","","","","","","","","","","",""
"16392","","","","","","","240","209","271","183","183","183","","","","","",""
"16416","271","271","271","185","185","185","","","","","","","","","","","",""
"16420","","","","","","","","","","","","","252","252","252","235","235","235"
"16577","","","","","","","210","210","210","185","185","185","","","","","",""
"16605","241","209","273","189","189","189","","","","","","","","","","","",""
"16767","","","","","","","275","275","275","190","190","190","","","","","",""
"16793","275","275","275","188","188","188","","","","","","","","","","","",""
"16804","","","","","","","","","","","","","203","203","203","196","196","196"
"16952","","","","","","","212","212","212","185","185","185","","","","","",""
"17139","","","","","","","279","279","279","187","187","187","","","","","",""
"17169","279","279","279","189","189","189","","","","","","","","","","","",""
"17238","","","","","","","","","","","","","260","260","260","207","207","207"
"17323","","","","","","","214","214","214","184","184","184","","","","","",""
"17356","247","213","281","187","187","187","","","","","","","","","","","",""
"17487","","","","","","","","","","","","","206","206","206","249","249","249"
"17543","283","283","283","187","187","187","","","","","","","","","","","",""
"17701","","","","","","","269","216","322","188","188","188","","","","","",""
"17729","215","215","215","186","186","186","","","","","","","","","","","",""
"17885","","","","","","","217","217","217","184","184","184","","","","","",""
"17917","270","216","324","188","188","188","","","","","","","","","","","",""
"17969","","","","","","","","","","","","","237","208","266","263","263","263"
"18072","","","","","","","326","326","326","187","187","187","","","","","",""
"18104","305","284","326","187","187","187","","","","","","","","","","","",""
"18204","","","","","","","","","","","","","268","268","268","235","235","235"
"18256","","","","","","","307","286","328","184","184","184","","","","","",""
"18289","306.5","285","328","185","185","185","","","","","","","","","","","",""
"18445","","","","","","","","","","","","","270","270","270","241","241","241"
"18446","","","","","","","330","330","330","190","190","190","","","","","",""
"18475","286","286","286","186","186","186","","","","","","","","","","","",""
"18628","","","","","","","","","","","","","211","211","211","183","183","183"
"18635","","","","","","","288","288","288","189","189","189","","","","","",""
"18843","311","288","334","185","185","185","","","","","","","","","","","",""
"19026","336","336","336","183","183","183","","","","","","","","","","","",""
"19213","290","290","290","187","187","187","","","","","","","","","","","",""
"19314","","","","","","","","","","","","","214","214","214","233","233","233"
"19400","340","340","340","187","187","187","","","","","","","","","","","",""
"19520","","","","","","","","","","","","","215","215","215","206","206","206"
"19566","","","","","","","293","293","293","186","186","186","","","","","",""
"19583","317","292","342","183","183","183","","","","","","","","","","","",""
"19704","","","","","","","","","","","","","282","282","282","184","184","184"
"19769","344","344","344","186","186","186","","","","","","","","","","","",""
"19936","","","","","","","295","295","295","187","187","187","217","217","217","232","232","232"
"19954","346","346","346","185","185","185","","","","","","","","","","","",""
"20120","","","","","","","322","296","348","184","184","184","","","","","",""
"20310","","","","","","","323.5","297","350","190","190","190","","","","","",""
"20324","323","296","350","186","186","186","","","","","","","","","","","",""
"20367","","","","","","","","","","","","","219","219","219","224","224","224"
"20498","","","","","","","298","298","298","188","188","188","","","","","",""
"20511","324.5","297","352","187","187","187","","","","","","","","","","","",""
"20700","326","298","354","189","189","189","","","","","","","","","","","",""
"20839","","","","","","","","","","","","","287","287","287","256","256","256"
"20887","327.5","299","356","187","187","187","","","","","","","","","","","",""
"21073","329","300","358","186","186","186","","","","","","","","","","","",""
"21238","","","","","","","360","360","360","189","189","189","","","","","",""
"21261","360","360","360","188","188","188","","","","","","","","","","","",""
"21360","","","","","","","","","","","","","332","332","332","282","282","282"
"21424","","","","","","","362","362","362","186","186","186","","","","","",""
"21447","362","362","362","186","186","186","","","","","","","","","","","",""
"21608","","","","","","","364","364","364","184","184","184","","","","","",""
"21609","","","","","","","","","","","","","290","290","290","249","249","249"
"21637","303","303","303","190","190","190","","","","","","","","","","","",""
"21792","","","","","","","366","366","366","184","184","184","","","","","",""
"21809","","","","","","","","","","","","","291","291","291","200","200","200"
"21821","366","366","366","184","184","184","","","","","","","","","","","",""
"22009","368","368","368","188","188","188","","","","","","","","","","","",""
"22162","","","","","","","370","370","370","185","185","185","","","","","",""
"22199","306","306","306","190","190","190","","","","","","","","","","","",""
"22243","","","","","","","","","","","","","316.5","293","340","244","244","244"
"22352","","","","","","","308","308","308","190","190","190","","","","","",""
"22384","339.5","307","372","185","185","185","","","","","","","","","","","",""
"22429","","","","","","","","","","","","","342","342","342","186","186","186"
"22573","341","308","374","189","189","189","","","","","","","","","","","",""
"22704","","","","","","","","","","","","","295","295","295","275","275","275"
"22761","309","309","309","188","188","188","","","","","","","","","","","",""
"22908","","","","","","","311","311","311","185","185","185","","","","","",""
"22949","344","310","378","188","188","188","","","","","","","","","","","",""
"23132","345.5","311","380","183","183","183","","","","","","","","","","","",""
"23279","","","","","","","382","382","382","184","184","184","","","","","",""
"23320","347","312","382","188","188","188","","","","","","","","","","","",""
"23467","","","","","","","314","314","314","188","188","188","","","","","",""
"23508","348.5","313","384","188","188","188","","","","","","","","","","","",""
"23694","314","314","314","186","186","186","","","","","","","","","","","",""
"23881","351.5","315","388","187","187","187","","","","","","","","","","","",""
"23966","","","","","","","","","","","","","356","356","356","203","203","203"
"24034","","","","","","","317","317","317","190","190","190","","","","","",""
"24065","390","390","390","184","184","184","","","","","","","","","","","",""
"24203","","","","","","","","","","","","","330","302","358","237","237","237"
"24255","354.5","317","392","190","190","190","","","","","","","","","","","",""
"24442","356","318","394","187","187","187","","","","","","","","","","","",""
"24464","","","","","","","","","","","","","360","360","360","261","261","261"
"24587","","","","","","","408","408","408","184","184","184","","","","","",""
"24650","","","","","","","","","","","","","333","304","362","186","186","186"
"24839","","","","","","","","","","","","","334.5","305","364","189","189","189"
"24963","","","","","","","388","388","388","188","188","188","","","","","",""
"25005","439","439","439","185","185","185","","","","","","","","","","","",""
"25235","","","","","","","","","","","","","307","307","307","207","207","207"
"25338","","","","","","","390","390","390","189","189","189","","","","","",""
"25380","422","401","443","187","187","187","","","","","","","","","","","",""
"25439","","","","","","","","","","","","","370","370","370","204","204","204"
"25566","445","445","445","186","186","186","","","","","","","","","","","",""
"25755","447","447","447","189","189","189","","","","","","","","","","","",""
"25883","","","","","","","","","","","","","342","310","374","224","224","224"
"25895","","","","","","","407.5","393","422","186","186","186","","","","","",""
"25941","426.5","404","449","186","186","186","","","","","","","","","","","",""
"26094","","","","","","","","","","","","","311","311","311","211","211","211"
"26128","451","451","451","187","187","187","","","","","","","","","","","",""
"26268","","","","","","","426","426","426","187","187","187","","","","","",""
"26313","429.5","406","453","185","185","185","","","","","","","","","","","",""
"26323","","","","","","","","","","","","","378","378","378","229","229","229"
"26453","","","","","","","396","396","396","185","185","185","","","","","",""
"26497","431","407","455","184","184","184","","","","","","","","","","","",""
"26562","","","","","","","","","","","","","346.5","313","380","239","239","239"
"26636","","","","","","","430","430","430","183","183","183","","","","","",""
"26869","434","409","459","188","188","188","","","","","","","","","","","",""
"27014","","","","","","","434","434","434","188","188","188","","","","","",""
"27015","","","","","","","","","","","","","349.5","315","384","205","205","205"
"27054","461","461","461","185","185","185","","","","","","","","","","","",""
"27229","","","","","","","","","","","","","351","316","386","214","214","214"
"27242","437","411","463","188","188","188","","","","","","","","","","","",""
"27387","","","","","","","436","436","436","189","189","189","","","","","",""
"27429","438.5","412","465","187","187","187","","","","","","","","","","","",""
"27453","","","","","","","","","","","","","388","388","388","224","224","224"
"27575","","","","","","","457.5","437","478","188","188","188","","","","","",""
"27618","413","413","413","189","189","189","","","","","","","","","","","",""
"27808","441.5","414","469","190","190","190","","","","","","","","","","","",""
"27833","","","","","","","","","","","","","427","427","427","190","190","190"
"27991","443","415","471","183","183","183","","","","","","","","","","","",""
"28035","","","","","","","","","","","","","374.5","320","429","202","202","202"
"28135","","","","","","","440","440","440","185","185","185","","","","","",""
"28174","416","416","416","183","183","183","","","","","","","","","","","",""
"28246","","","","","","","","","","","","","431","431","431","211","211","211"
"28325","","","","","","","486","486","486","190","190","190","","","","","",""
"28359","446","417","475","185","185","185","","","","","","","","","","","",""
"28449","","","","","","","","","","","","","377.5","322","433","203","203","203"
"28546","447.5","418","477","187","187","187","","","","","","","","","","","",""
"28699","","","","","","","466.5","443","490","184","184","184","","","","","",""
"28735","449","419","479","189","189","189","","","","","","","","","","","",""
"28906","","","","","","","","","","","","","390","390","390","254","254","254"
"28923","450.5","420","481","188","188","188","","","","","","","","","","","",""
"29072","","","","","","","469.5","445","494","184","184","184","","","","","",""
"29169","","","","","","","","","","","","","391","391","391","263","263","263"
"29259","","","","","","","496","496","496","187","187","187","","","","","",""
"29298","422","422","422","189","189","189","","","","","","","","","","","",""
"29391","","","","","","","","","","","","","392","392","392","222","222","222"
"29484","423","423","423","186","186","186","","","","","","","","","","","",""
"29595","","","","","","","","","","","","","418","393","443","204","204","204"
"29632","","","","","","","500","500","500","189","189","189","","","","","",""
"29673","424","424","424","189","189","189","","","","","","","","","","","",""
"29803","","","","","","","","","","","","","419.5","394","445","208","208","208"
"29817","","","","","","","475.5","449","502","185","185","185","","","","","",""
"29861","458","425","491","188","188","188","","","","","","","","","","","",""
"30005","","","","","","","477","450","504","188","188","188","","","","","",""
"30026","","","","","","","","","","","","","395","395","395","223","223","223"
"30047","493","493","493","186","186","186","","","","","","","","","","","",""
"30213","","","","","","","","","","","","","449","449","449","187","187","187"
"30231","461","427","495","184","184","184","","","","","","","","","","","",""
"30379","","","","","","","452","452","452","186","186","186","","","","","",""
"30421","497","497","497","190","190","190","","","","","","","","","","","",""
"30446","","","","","","","","","","","","","424","397","451","233","233","233"
"30608","429","429","429","187","187","187","","","","","","","","","","","",""
"30676","","","","","","","","","","","","","398","398","398","230","230","230"
"30750","","","","","","","512","512","512","183","183","183","","","","","",""
"30896","","","","","","","","","","","","","455","455","455","220","220","220"
"30933","","","","","","","514","514","514","183","183","183","","","","","",""
"30980","467","431","503","187","187","187","","","","","","","","","","","",""
"31119","","","","","","","456","456","456","186","186","186","428.5","400","457","223","223","223"
"31351","433","433","433","186","186","186","","","","","","","","","","","",""
"31498","","","","","","","520","520","520","190","190","190","","","","","",""
"31537","487.5","434","541","186","186","186","","","","","","","","","","","",""
"31681","","","","","","","490.5","459","522","183","183","183","","","","","",""
"31723","543","543","543","186","186","186","","","","","","","","","","","",""
"31753","","","","","","","","","","","","","433","403","463","232","232","232"
"31869","","","","","","","524","524","524","188","188","188","","","","","",""
"31907","545","545","545","184","184","184","","","","","","","","","","","",""
"31961","","","","","","","","","","","","","434.5","404","465","208","208","208"
"32054","","","","","","","461","461","461","185","185","185","","","","","",""
"32090","492","437","547","183","183","183","","","","","","","","","","","",""
"32238","","","","","","","528","528","528","184","184","184","","","","","",""
"32274","526.5","504","549","184","184","184","","","","","","","","","","","",""
"32422","","","","","","","530","530","530","184","184","184","","","","","",""
"32650","553","553","553","190","190","190","","","","","","","","","","","",""
"32791","","","","","","","465","465","465","185","185","185","","","","","",""
"32831","","","","","","","","","","","","","408","408","408","243","243","243"
"32837","555","555","555","187","187","187","","","","","","","","","","","",""
"32979","","","","","","","501","466","536","188","188","188","","","","","",""
"33025","532.5","508","557","188","188","188","","","","","","","","","","","",""
"33077","","","","","","","","","","","","","409","409","409","246","246","246"
"33214","509","509","509","189","189","189","","","","","","","","","","","",""
"33352","","","","","","","519.5","468","571","188","188","188","","","","","",""
"33403","561","561","561","189","189","189","","","","","","","","","","","",""
"33489","","","","","","","","","","","","","411","411","411","203","203","203"
"33590","511","511","511","187","187","187","","","","","","","","","","","",""
"33676","","","","","","","","","","","","","481","481","481","187","187","187"
"33780","538.5","512","565","190","190","190","","","","","","","","","","","",""
"33967","513","513","513","187","187","187","","","","","","","","","","","",""
"34101","","","","","","","579","579","579","184","184","184","","","","","",""
"34110","","","","","","","","","","","","","449.5","414","485","250","250","250"
"34155","541.5","514","569","188","188","188","","","","","","","","","","","",""
"34319","","","","","","","","","","","","","487","487","487","209","209","209"
"34338","543","515","571","183","183","183","","","","","","","","","","","",""
"34475","","","","","","","561.5","540","583","186","186","186","","","","","",""
"34553","","","","","","","","","","","","","489","489","489","234","234","234"
"34659","","","","","","","585","585","585","184","184","184","","","","","",""
"34713","575","575","575","189","189","189","","","","","","","","","","","",""
"34741","","","","","","","","","","","","","417","417","417","188","188","188"
"34898","518","518","518","185","185","185","","","","","","","","","","","",""
"34927","","","","","","","","","","","","","473","418","528","186","186","186"
"35030","","","","","","","589","589","589","186","186","186","","","","","",""
"35088","549","519","579","190","190","190","","","","","","","","","","","",""
"35115","","","","","","","","","","","","","474.5","419","530","188","188","188"
"35218","","","","","","","567.5","544","591","188","188","188","","","","","",""
"35406","","","","","","","569","545","593","188","188","188","","","","","",""
"35591","","","","","","","595","595","595","185","185","185","","","","","",""
"35640","","","","","","","","","","","","","421","421","421","206","206","206"
"35650","553.5","522","585","188","188","188","","","","","","","","","","","",""
"35779","","","","","","","572","547","597","188","188","188","","","","","",""
"35826","","","","","","","","","","","","","422","422","422","186","186","186"
"35838","523","523","523","188","188","188","","","","","","","","","","","",""
"35964","","","","","","","548","548","548","185","185","185","","","","","",""
"36024","589","589","589","186","186","186","","","","","","","","","","","",""
"36214","525","525","525","190","190","190","","","","","","","","","","","",""
"36234","","","","","","","","","","","","","491","491","491","212","212","212"
"36338","","","","","","","576.5","550","603","185","185","185","","","","","",""
"36401","559.5","526","593","187","187","187","","","","","","","","","","","",""
"36439","","","","","","","","","","","","","492","492","492","205","205","205"
"36525","","","","","","","605","605","605","187","187","187","","","","","",""
"36586","561","527","595","185","185","185","","","","","","","","","","","",""
"36683","","","","","","","","","","","","","493","493","493","244","244","244"
"36710","","","","","","","607","607","607","185","185","185","","","","","",""
"36769","562.5","528","597","183","183","183","","","","","","","","","","","",""
"36900","","","","","","","581","553","609","190","190","190","","","","","",""
"36934","","","","","","","","","","","","","520","494","546","251","251","251"
"36953","564","529","599","184","184","184","","","","","","","","","","","",""
"37275","","","","","","","613","613","613","189","189","189","","","","","",""
"37314","","","","","","","","","","","","","523","496","550","184","184","184"
"37330","582.5","531","634","190","190","190","","","","","","","","","","","",""
"37462","","","","","","","585.5","556","615","187","187","187","","","","","",""
"37513","","","","","","","","","","","","","497","497","497","199","199","199"
"37515","636","636","636","185","185","185","","","","","","","","","","","",""
"37647","","","","","","","557","557","557","185","185","185","","","","","",""
"37703","533","533","533","188","188","188","","","","","","","","","","","",""
"37888","587","534","640","185","185","185","","","","","","","","","","","",""
"37956","","","","","","","","","","","","","527.5","499","556","216","216","216"
"38019","","","","","","","590","559","621","185","185","185","","","","","",""
"38072","642","642","642","184","184","184","","","","","","","","","","","",""
"38168","","","","","","","","","","","","","558","558","558","212","212","212"
"38255","602","602","602","183","183","183","","","","","","","","","","","",""
"38383","","","","","","","","","","","","","530.5","501","560","215","215","215"
"38395","","","","","","","561","561","561","188","188","188","","","","","",""
"38443","646","646","646","188","188","188","","","","","","","","","","","",""
"38579","","","","","","","562","562","562","184","184","184","","","","","",""
"38626","626","604","648","183","183","183","","","","","","","","","","","",""
"38629","","","","","","","","","","","","","502","502","502","246","246","246"
"38768","","","","","","","596","563","629","189","189","189","","","","","",""
