Alliteration:  The repetition of consonant sounds at the beginning of words close to each other. \n e.g  "She sells seashells by the seashore."
Narratology:  The study of narrative structure and how it affects our perception of a story, including concepts like plot, theme, and point of view. \n e.g  Analyzing the use of multiple narrators in William Faulkner’s As I Lay Dying is an exercise in narratology.
Onomatopoeia:  A word that imitates the sound it represents. \n e.g  "Buzz," "bang," "sizzle."
Oxymoron:  A figure of speech in which two opposite ideas are joined to create an effect. \n e.g  "Deafening silence."
Paradox:  A statement that appears self-contradictory, but that reveals a deeper truth. \n e.g  "Less is more."
Parataxis:  The placement of clauses or phrases one after another, without words to indicate coordination or subordination. \n e.g  "I came, I saw, I conquered."
Peripeteia:  A sudden reversal of fortune or change in circumstances, especially in reference to a fictional narrative. \n e.g  The hero’s fall from grace in Greek tragedies.
Personification:  Attributing human characteristics to non-human entities or inanimate objects. \n e.g  "The wind whispered through the trees."
Polyptoton:  A rhetorical device where the same root word is repeated in different forms or cases. \n e.g  "The only thing we have to fear is fear itself."
Polysyndeton:  The use of several conjunctions in close succession, especially where some might be omitted. \n e.g  "We have ships and men and money and stores."
Retrospective Narration:  A narrative that looks back on events that have already taken place, often with the benefit of hindsight. \n e.g  The adult Scout Finch narrating To Kill a Mockingbird as she looks back on her childhood.
Sibilance:  A literary device where strongly stressed consonants are created deliberately by producing a hissing sound. \n e.g  "She sells seashells by the seashore.
Simile:  A figure of speech comparing two unlike things using “like” or “as.” \n e.g  "As brave as a lion."
Soliloquy:  A long speech expressing the thoughts of a character alone on stage. \n e.g  Hamlet’s "To be, or not to be" soliloquy.
Stream of Consciousness:  A narrative technique that attempts to capture the flow of thoughts and feelings as they occur, often in an unstructured, free-form style. \n e.g  In The Sound and the Fury by William Faulkner, the character Benjy Compson’s thoughts are presented in a stream of consciousness style. Benjy, who has an intellectual disability, experiences time non-linearly, and his narrative reflects this disjointed perception.
Stichomythia:  A form of dialogue in which two characters speak alternate lines of verse, often used in drama to convey a sense of tension or conflict. \n e.g  In Hamlet, Act III, Scene iv, Hamlet and his mother Gertrude engage in a rapid exchange of lines, showcasing the intense emotion and confrontation.
Symbolism:  The use of symbols to represent ideas or qualities. \n e.g  A red rose often symbolizes love or romance.
Synecdoche:  A figure of speech in which a part is made to represent the whole or vice versa. \n e.g  "All hands on deck" (where "hands" represents people).
Theme:  The central topic or idea explored in a text. \n e.g  The theme of love and sacrifice in Romeo and Juliet.
Tone:  The attitude or approach that the author takes toward the work’s central theme or subject. \n e.g  The tone of 1984 by George Orwell is dark, pessimistic, and dystopian.
Understatement:  A figure of speech in which a writer or speaker deliberately makes a situation seem less important or serious than it is. \n e.g  Saying "It’s a bit chilly" in below-freezing temperatures.
Unreliable Narrator:  A narrator whose credibility is compromised, often leading the reader to question the truth of the story being told. \n e.g  The narrator in Edgar Allan Poe’s "The Tell-Tale Heart" is unreliable due to his madness.
Zeugma:  A figure of speech in which a word applies to multiple parts of the sentence, often in different senses. \n e.g  "He stole both her car and her heart that fateful night."
